Inscritos,Duração,Tema,Formato,Data,Visualizações
135000,5615,7,5,2135,1
145000,321,9,3,1019,5
157000,1387,5,5,990,3
135000,9081,7,5,1024,4
358000,265,9,4,67,3
358000,243,9,4,88,3
358000,162,9,4,2318,4
358000,202,9,4,799,5
128000,406,6,5,1938,4
153000,122,6,5,1546,4
135000,5431,7,5,2142,1
179000,199,9,5,54,1
117000,92,8,4,2355,4
241000,413,9,5,1139,4
135000,219,7,5,1558,5
145000,1014,4,5,184,4
117000,75,8,4,2374,3
135000,3080,7,5,817,1
117000,118,8,4,2334,5
358000,125,9,4,1536,2
179000,449,8,4,1277,4
153000,903,6,5,1875,4
124000,1771,8,5,576,3
135000,6705,7,5,1256,4
117000,137,8,4,2370,4
128000,338,6,5,1972,1
145000,690,7,3,574,3
145000,293,4,3,590,2
145000,214,4,3,1119,5
157000,360,5,5,1911,2
117000,122,8,4,2341,5
157000,608,5,5,309,1
124000,813,8,5,1271,4
117000,128,8,4,2242,3
128000,1046,6,5,1687,4
241000,411,8,5,1090,4
241000,884,8,5,49,4
153000,90,6,5,1817,5
128000,248,3,5,1965,1
145000,165,8,3,1400,5
179000,589,9,1,85,1
128000,1127,6,5,1570,4
241000,1178,9,5,145,5
241000,745,8,5,193,4
145000,487,4,3,479,3
145000,263,7,3,932,5
358000,166,9,4,2256,3
128000,426,6,5,2000,1
358000,133,9,4,1508,5
117000,229,8,4,217,2
124000,196,8,5,413,2
241000,281,8,5,1324,4
128000,272,6,5,1767,3
358000,289,9,4,122,3
358000,260,9,4,108,3
358000,194,9,4,1419,5
179000,156,9,5,1279,2
157000,498,5,5,636,5
157000,242,6,3,1896,1
135000,75,7,3,810,1
145000,97,6,3,2617,2
241000,792,9,5,42,3
241000,819,9,5,69,4
153000,307,6,5,1743,4
128000,1139,6,5,1501,4
145000,341,8,3,1065,4
358000,110,9,4,1545,3
145000,636,4,5,282,4
157000,203,3,5,1856,1
124000,1191,8,5,1540,4
128000,1891,6,5,1255,3
241000,399,8,5,1180,4
241000,1051,7,5,62,4
135000,14090,7,5,1533,5
358000,213,9,4,156,3
135000,4811,7,5,2176,1
241000,965,9,5,76,3
358000,135,9,4,1274,5
117000,108,8,4,2273,3
117000,93,8,4,2348,4
145000,72,8,3,2317,4
157000,431,5,5,641,4
124000,558,5,5,1677,2
157000,345,5,5,1905,2
179000,131,9,4,1283,2
135000,3701,7,1,200,1
179000,201,9,5,74,2
179000,528,6,5,1276,3
153000,334,9,5,1896,2
241000,421,9,5,1545,2
358000,252,9,4,81,3
135000,10158,7,5,513,5
358000,248,9,4,129,4
179000,202,9,5,47,1
179000,219,9,5,1282,2
145000,182,7,3,1265,5
358000,172,9,4,2245,3
358000,170,9,4,868,5
157000,816,5,5,199,1
117000,71,8,4,2255,2
241000,148,9,5,584,5
117000,281,8,4,275,4
153000,454,9,5,101,2
241000,442,9,5,1125,4
124000,1706,8,5,417,3
153000,888,2,5,232,2
179000,199,9,5,40,4
117000,106,8,4,1960,4
145000,61,7,3,2606,1
124000,994,8,5,1127,4
145000,268,7,3,563,2
117000,174,8,4,2265,5
128000,1231,6,5,1536,4
145000,1346,4,3,879,5
157000,397,5,5,1594,4
179000,707,7,3,961,5
135000,112,7,3,1352,4
179000,341,7,4,1181,5
153000,673,2,5,191,2
241000,519,9,5,964,4
179000,152,9,4,1280,2
153000,3719,6,5,198,4
135000,324,6,3,2170,1
241000,379,8,5,1262,4
241000,451,8,5,1152,5
241000,1395,9,5,111,3
124000,559,8,5,1711,4
358000,143,9,4,1551,4
241000,382,9,5,1187,5
135000,322,7,1,479,1
124000,912,8,5,1312,4
117000,211,8,4,170,2
157000,610,7,5,1416,4
135000,133,7,5,822,1
124000,1247,8,5,1533,4
157000,916,3,5,931,3
135000,196,7,5,820,1
145000,1484,7,3,227,2
241000,475,9,5,957,4
124000,889,8,5,1416,4
157000,379,5,5,274,1
179000,161,1,5,1274,2
145000,517,4,3,192,4
153000,793,6,5,1889,4
117000,227,8,4,177,2
124000,946,4,5,615,2
358000,176,9,4,2220,3
358000,272,9,4,143,4
135000,6837,7,5,1720,4
145000,85,1,3,2600,3
117000,80,8,4,2368,3
153000,688,8,5,225,2
117000,362,8,4,60,2
358000,237,9,4,1370,5
153000,971,9,5,1864,2
135000,4686,7,5,2169,1
135000,229,7,5,815,1
157000,233,7,5,1904,1
128000,1928,6,5,1675,5
157000,752,5,5,1011,3
128000,286,6,5,1986,1
358000,150,9,4,1179,5
153000,1056,6,5,1917,3
358000,269,9,4,163,4
117000,104,8,4,2362,3
117000,181,8,4,1966,4
135000,427,7,5,1152,5
241000,773,8,5,543,5
117000,119,8,4,2049,4
241000,861,9,5,83,3
135000,1976,7,5,2149,1
145000,91,8,3,2573,2
157000,478,5,5,1943,3
358000,167,9,4,1012,5
241000,494,9,5,751,4
117000,142,8,4,2307,4
179000,229,9,5,60,1
117000,467,8,4,109,2
128000,718,6,5,2034,2
153000,161,3,5,1145,4
179000,178,9,5,67,2
124000,907,8,5,1257,3
358000,144,9,4,2242,4
117000,306,8,4,88,2
117000,376,8,4,163,2
128000,1782,6,5,1524,3
124000,1724,8,5,294,3
241000,901,9,5,199,5
153000,530,7,5,1883,2
135000,18082,7,5,2055,4
117000,278,8,4,81,2
117000,73,8,4,2245,2
128000,535,6,5,2020,1
117000,1198,8,4,150,2
153000,398,9,5,251,2
241000,461,2,5,1145,4
179000,991,9,5,1090,4
157000,744,7,5,1448,3
241000,417,9,5,1207,4
128000,659,6,5,2027,2
157000,242,5,3,1956,3
358000,143,9,4,1529,3
117000,166,8,4,2319,4
145000,36,8,3,2506,2
128000,683,6,5,1819,3
241000,770,9,5,56,3
124000,252,8,5,1742,1
358000,175,9,4,1239,5
117000,26,8,4,2181,2
241000,1145,9,5,97,5
153000,3456,6,5,582,4
117000,388,8,4,116,1
358000,161,9,4,2138,3
358000,141,9,4,1144,5
153000,546,6,5,1859,2
358000,196,9,4,149,2
135000,6929,7,5,499,1
145000,130,8,3,2323,4
157000,380,5,5,258,2
157000,236,7,3,1952,1
153000,1013,6,5,856,4
135000,221,7,5,818,2
241000,1423,7,5,90,4
157000,355,5,5,282,1
135000,3290,7,5,2128,1
135000,135,7,5,937,4
145000,246,7,3,2284,5
157000,956,5,5,739,3
